Córrego;Altitude;Profundidade;Largura;Velocidade;Oxigênio;pH;Temperatura;Integridade Ambiental
#20;-0.609808454;-1.155345358;-1.120574732;-1.228817642;-0.222642967;-0.293234576;0.767969558;-0.177201196
#21;-1.793018886;-0.65050399;1.248508931;-0.734211217;0.481113538;-1.487893961;1.140113397;-0.367263769
#21;-1.793018886;-0.37866633;1.795220546;-0.067241948;0.481113538;-1.487893961;1.140113397;-0.367263769
#21;-1.793018886;0.048507136;1.066271726;0.269989705;0.481113538;-1.487893961;1.140113397;-0.367263769
#21;-1.793018886;-0.767005844;0.053842811;-0.779175438;0.481113538;-1.487893961;1.140113397;-0.367263769
#21;-1.793018886;-0.161196202;-0.098021527;-0.29206305;0.481113538;-1.487893961;1.140113397;-0.367263769
#21;-1.793018886;-0.689337941;0.408192931;-0.70423507;0.586677014;-0.293234576;1.140113397;-0.367263769
#21;-1.793018886;-0.65050399;-0.452371647;-0.479413968;0.586677014;-0.293234576;1.140113397;-0.367263769
#21;-1.793018886;0.320344796;0.205707148;0.195049338;0.586677014;-0.293234576;1.140113397;-0.367263769
#21;-1.793018886;0.864020115;0.428441509;0.906982828;0.586677014;-0.293234576;1.140113397;-0.367263769
#21;-1.793018886;-0.300998427;0.610678714;-0.404473601;0.586677014;-0.293234576;1.140113397;-0.367263769
#21;-1.793018886;-0.145662621;-0.17901584;-0.179652499;0.868179616;-1.487893961;1.140113397;-0.367263769
#22;0.536995504;1.524197289;0.134837124;1.296672738;-0.011516016;-0.293234576;-0.906677716;1.311860468
#22;0.536995504;0.398012698;0.256328594;0.232519522;-0.011516016;-0.293234576;-0.906677716;1.311860468
#22;0.536995504;0.281510844;-0.148642973;0.269989705;-0.011516016;-0.293234576;-0.906677716;1.311860468
#22;0.536995504;0.475680601;0.256328594;0.382400256;-0.011516016;-0.293234576;-0.906677716;1.311860468
#22;0.536995504;0.475680601;0.134837124;0.644691542;-0.011516016;-0.293234576;-0.906677716;1.311860468
#22;0.536995504;-0.300998427;1.096644594;-0.367003417;1.818250897;-1.487893961;-0.720605797;1.311860468
#22;0.536995504;1.718367046;1.572486184;2.068558522;1.818250897;-1.487893961;-0.720605797;1.311860468
#22;0.536995504;-0.961175601;0.408192931;-1.041466724;1.818250897;-1.487893961;-0.720605797;1.311860468
#22;0.536995504;-0.534002136;-0.705478876;-0.367003417;1.818250897;-1.487893961;-0.720605797;1.311860468
#22;0.536995504;-1.233013261;-1.434427696;0.41987044;1.818250897;-1.487893961;-0.720605797;1.311860468
#22;0.536995504;-0.456334233;-0.958586105;-0.516884152;1.818250897;-1.487893961;-0.348461958;1.311860468
#23;1.774815649;-0.534002136;-0.452371647;-0.441943785;0.868179616;0.901424809;-0.162390039;-0.320105387
#23;1.774815649;-0.883507698;-0.351128756;-0.554354336;0.868179616;0.901424809;-0.162390039;-0.320105387
#23;1.774815649;0.553348504;-0.047400081;0.644691542;0.868179616;0.901424809;-0.162390039;-0.320105387
#23;1.774815649;0.475680601;0.256328594;0.682161726;0.868179616;0.901424809;-0.162390039;-0.320105387
#23;1.774815649;3.349393006;-0.401750202;3.080253481;0.868179616;0.901424809;-0.162390039;-0.320105387
#23;1.774815649;0.941688018;-0.229637286;0.869512644;-0.187455142;0.901424809;0.023681881;-0.320105387
#23;1.774815649;1.951370755;0.560057268;1.768797053;-0.187455142;0.901424809;0.023681881;-0.320105387
#23;1.774815649;2.106706561;-0.148642973;1.918677787;-0.187455142;0.901424809;0.023681881;-0.320105387
#23;1.774815649;0.16500899;-0.705478876;0.195049338;-0.187455142;0.901424809;0.023681881;-0.320105387
#23;1.774815649;0.009673184;0.053842811;-0.067241948;-0.187455142;0.901424809;0.023681881;-0.320105387
#23;1.774815649;1.330027532;-0.249885864;1.469035583;-0.222642967;-0.293234576;0.2097538;-0.320105387
